name,sex,noc,games,year,city,sport,event,medal,times
"Herbert Henry ""Harry"" Johnson",M,GBR,1908 Summer,1908,London,Boxing,Boxing Men's Lightweight,Bronze,4
William Philo,M,GBR,1908 Summer,1908,London,Boxing,Boxing Men's Middleweight,Bronze,4
"Charles David ""Charlie"" Brooks",M,GBR,1908 Summer,1908,London,Cycling,"Cycling Men's Tandem Sprint, 2,000 metres",Bronze,4
Geoffrey Norman Edward Hall-Say,M,GBR,1908 Summer,1908,London,Figure Skating,Figure Skating Men's Special Figures,Bronze,4
Edgar Morris Wood Syers,M,GBR,1908 Summer,1908,London,Figure Skating,Figure Skating Mixed Pairs,Bronze,4
Dorothy Vernon Greenhough-Smith (Muddock-),F,GBR,1908 Summer,1908,London,Figure Skating,Figure Skating Women's Singles,Bronze,4
Alexander Baird Burt,M,GBR,1908 Summer,1908,London,Hockey,Hockey Men's Hockey,Bronze,4
Neville Stephen Bulwer-Lytton,M,GBR,1908 Summer,1908,London,Jeu De Paume,Jeu De Paume Men's Singles,Bronze,4
Henry Meredith Leaf,M,GBR,1908 Summer,1908,London,Racquets,Racquets Men's Doubles,Bronze,4
John Jacob Astor,M,GBR,1908 Summer,1908,London,Racquets,Racquets Men's Singles,Bronze,4
Richard Frederick Robert Pochin Boyle,M,GBR,1908 Summer,1908,London,Rowing,Rowing Men's Coxed Eights,Bronze,4
Alfred Collingwood Hughes,M,GBR,1908 Summer,1908,London,Sailing,Sailing Mixed 8 metres,Bronze,4
Geoffrey Horsman Coles,M,GBR,1908 Summer,1908,London,Shooting,"Shooting Men's Free Pistol, 50 yards, Team",Bronze,4
Maurice Blood,M,GBR,1908 Summer,1908,London,Shooting,"Shooting Men's Free Rifle, 1,000 Yards",Bronze,4
Alexander Elliott Rogers,M,GBR,1908 Summer,1908,London,Shooting,"Shooting Men's Running Target, Single Shot",Bronze,4
Edward John Amoore,M,GBR,1908 Summer,1908,London,Shooting,"Shooting Men's Small-Bore Rifle, Disappearing Target, 25 yards",Bronze,4
William Baines Marsden,M,GBR,1908 Summer,1908,London,Shooting,"Shooting Men's Small-Bore Rifle, Moving Target, 25 yards",Bronze,4
George Barnes,M,GBR,1908 Summer,1908,London,Shooting,"Shooting Men's Small-Bore Rifle, Prone, 50 and 100 yards",Bronze,4
Alexander Elsdon Maunder,M,GBR,1908 Summer,1908,London,Shooting,Shooting Men's Trap,Bronze,4
John Hurst Butt,M,GBR,1908 Summer,1908,London,Shooting,"Shooting Men's Trap, Team",Bronze,4
"Herbert Nickall ""Bert"" Haresnape",M,GBR,1908 Summer,1908,London,Swimming,Swimming Men's 100 metres Backstroke,Bronze,4
Clement Haughton Langston Cazalet,M,GBR,1908 Summer,1908,London,Tennis,Tennis Men's Doubles,Bronze,4
Wilberforce Vaughan Eaves,M,GBR,1908 Summer,1908,London,Tennis,Tennis Men's Singles,Bronze,4
Major Josiah George Ritchie,M,GBR,1908 Summer,1908,London,Tennis,"Tennis Men's Singles, Covered Courts",Bronze,4
Ruth Isabel Winch (Legh-),F,GBR,1908 Summer,1908,London,Tennis,Tennis Women's Singles,Bronze,4
Walter Chaffe,M,GBR,1908 Summer,1908,London,Tug-Of-War,Tug-Of-War Men's Tug-Of-War,Bronze,4
William McKie,M,GBR,1908 Summer,1908,London,Wrestling,"Wrestling Men's Featherweight, Freestyle",Bronze,4
"Edward ""Ned"" Barrett",M,GBR,1908 Summer,1908,London,Wrestling,"Wrestling Men's Heavyweight, Freestyle",Bronze,4
Arthur Gingell,M,GBR,1908 Summer,1908,London,Wrestling,"Wrestling Men's Lightweight, Freestyle",Bronze,4
Fred Beck,M,GBR,1908 Summer,1908,London,Wrestling,"Wrestling Men's Middleweight, Freestyle",Bronze,4
Arnold Nugent Strode Jackson (-Strode-Jackson),M,GBR,1912 Summer,1912,Stockholm,Athletics,"Athletics Men's 1,500 metres",Gold,5
"William Reuben ""Willie"" Applegarth",M,GBR,1912 Summer,1912,Stockholm,Athletics,Athletics Men's 4 x 100 metres Relay,Gold,5
Arthur Berry,M,GBR,1912 Summer,1912,Stockholm,Football,Football Men's Football,Gold,5
Edgar Richard Burgess,M,GBR,1912 Summer,1912,Stockholm,Rowing,Rowing Men's Coxed Eights,Gold,5
"William Nicoll Duthie ""Wally"" Kinnear",M,GBR,1912 Summer,1912,Stockholm,Rowing,Rowing Men's Single Sculls,Gold,5
Edward John Lessimore,M,GBR,1912 Summer,1912,Stockholm,Shooting,"Shooting Men's Small-Bore Rifle, Prone, 50 metres, Team",Gold,5
Jennie Fletcher (-Hyslop),F,GBR,1912 Summer,1912,Stockholm,Swimming,Swimming Women's 4 x 100 metres Freestyle Relay,Gold,5
Charles Percy Dixon,M,GBR,1912 Summer,1912,Stockholm,Tennis,"Tennis Mixed Doubles, Covered Courts",Gold,5
Edith Margaret Hannam (Boucher-),F,GBR,1912 Summer,1912,Stockholm,Tennis,"Tennis Women's Singles, Covered Courts",Gold,5
Isaac Bentham,M,GBR,1912 Summer,1912,Stockholm,Water Polo,Water Polo Men's Water Polo,Gold,5
"Ernest James ""Ernie"" Webb",M,GBR,1912 Summer,1912,Stockholm,Athletics,Athletics Men's 10 kilometres Walk,Silver,5
"Frederick Henry ""Freddie"" Grubb",M,GBR,1912 Summer,1912,Stockholm,Cycling,"Cycling Men's Road Race, Individual",Silver,5
"Charles Frederick ""Charlie"" Davey",M,GBR,1912 Summer,1912,Stockholm,Cycling,"Cycling Men's Road Race, Team",Silver,5
Percival May Davson,M,GBR,1912 Summer,1912,Stockholm,Fencing,"Fencing Men's epee, Team",Silver,5
Robert Croft Bourne,M,GBR,1912 Summer,1912,Stockholm,Rowing,Rowing Men's Coxed Eights,Silver,5
Julius Beresford Wiszniewski,M,GBR,1912 Summer,1912,Stockholm,Rowing,"Rowing Men's Coxed Fours, Outriggers",Silver,5
Henry George Burr,M,GBR,1912 Summer,1912,Stockholm,Shooting,"Shooting Men's Military Rifle, 200, 400, 500 and 600 metres, Team",Silver,5
William Milne,M,GBR,1912 Summer,1912,Stockholm,Shooting,"Shooting Men's Small-Bore Rifle, Any Position, 50 metres",Silver,5
William Milne,M,GBR,1912 Summer,1912,Stockholm,Shooting,"Shooting Men's Small-Bore Rifle, Disappearing Target, 25 metres, Team",Silver,5
John Hurst Butt,M,GBR,1912 Summer,1912,Stockholm,Shooting,"Shooting Men's Trap, Team",Silver,5
"John Gatenby ""Jack"" Hatfield",M,GBR,1912 Summer,1912,Stockholm,Swimming,"Swimming Men's 1,500 metres Freestyle",Silver,5
"John Gatenby ""Jack"" Hatfield",M,GBR,1912 Summer,1912,Stockholm,Swimming,Swimming Men's 400 metres Freestyle,Silver,5
Charles Percy Dixon,M,GBR,1912 Summer,1912,Stockholm,Tennis,"Tennis Men's Singles, Covered Courts",Silver,5
Frances Helen Aitchison (-Leisk),F,GBR,1912 Summer,1912,Stockholm,Tennis,"Tennis Mixed Doubles, Covered Courts",Silver,5
Walter Chaffe,M,GBR,1912 Summer,1912,Stockholm,Tug-Of-War,Tug-Of-War Men's Tug-Of-War,Silver,5
"William Reuben ""Willie"" Applegarth",M,GBR,1912 Summer,1912,Stockholm,Athletics,Athletics Men's 200 metres,Bronze,5
"William ""Billy"" Cottrill",M,GBR,1912 Summer,1912,Stockholm,Athletics,"Athletics Men's 3,000 metres, Team",Bronze,5
Ernest John Henley,M,GBR,1912 Summer,1912,Stockholm,Athletics,Athletics Men's 4 x 400 metres Relay,Bronze,5
George William Hutson,M,GBR,1912 Summer,1912,Stockholm,Athletics,"Athletics Men's 5,000 metres",Bronze,5
"William ""Billy"" Cottrill",M,GBR,1912 Summer,1912,Stockholm,Athletics,"Athletics Men's Cross-Country, Team",Bronze,5
"Isabel Mary ""Belle"" White",F,GBR,1912 Summer,1912,Stockholm,Diving,Diving Women's Plain High,Bronze,5
Albert Edward Betts,M,GBR,1912 Summer,1912,Stockholm,Gymnastics,Gymnastics Men's Team All-Around,Bronze,5
Hugh Durant,M,GBR,1912 Summer,1912,Stockholm,Shooting,"Shooting Men's Dueling Pistol, 30 metres, Team",Bronze,5
Charles Edward Stewart,M,GBR,1912 Summer,1912,Stockholm,Shooting,"Shooting Men's Free Pistol, 50 metres",Bronze,5
Hugh Durant,M,GBR,1912 Summer,1912,Stockholm,Shooting,"Shooting Men's Free Pistol, 50 metres, Team",Bronze,5
"Harold ""Harry"" Burt",M,GBR,1912 Summer,1912,Stockholm,Shooting,"Shooting Men's Small-Bore Rifle, Any Position, 50 metres",Bronze,5
Thomas Sydney Battersby,M,GBR,1912 Summer,1912,Stockholm,Swimming,Swimming Men's 4 x 200 metres Freestyle Relay,Bronze,5
Percy Courtman,M,GBR,1912 Summer,1912,Stockholm,Swimming,Swimming Men's 400 metres Breaststroke,Bronze,5
Jennie Fletcher (-Hyslop),F,GBR,1912 Summer,1912,Stockholm,Swimming,Swimming Women's 100 metres Freestyle,Bronze,5
Alfred Ernest Beamish,M,GBR,1912 Summer,1912,Stockholm,Tennis,"Tennis Men's Doubles, Covered Courts",Bronze,5
"Mabel Bramwell Parton (Squire-, -Mavrogordato)",F,GBR,1912 Summer,1912,Stockholm,Tennis,"Tennis Women's Singles, Covered Courts",Bronze,5
Albert George Hill,M,GBR,1920 Summer,1920,Antwerpen,Athletics,"Athletics Men's 1,500 metres",Gold,6
Percy Hodge,M,GBR,1920 Summer,1920,Antwerpen,Athletics,"Athletics Men's 3,000 metres Steeplechase",Gold,6
John Creyghton Ainsworth-Davis,M,GBR,1920 Summer,1920,Antwerpen,Athletics,Athletics Men's 4 x 400 metres Relay,Gold,6
Albert George Hill,M,GBR,1920 Summer,1920,Antwerpen,Athletics,Athletics Men's 800 metres,Gold,6
"Ronald Rawson ""Ron"" Rawson",M,GBR,1920 Summer,1920,Antwerpen,Boxing,Boxing Men's Heavyweight,Gold,6
"Henry William ""Harry"" Mallin",M,GBR,1920 Summer,1920,Antwerpen,Boxing,Boxing Men's Middleweight,Gold,6
Thomas Glasson Lance,M,GBR,1920 Summer,1920,Antwerpen,Cycling,"Cycling Men's Tandem Sprint, 2,000 metres",Gold,6
Charles Sydney Atkin,M,GBR,1920 Summer,1920,Antwerpen,Hockey,Hockey Men's Hockey,Gold,6
Frederick Whitfield Barrett,M,GBR,1920 Summer,1920,Antwerpen,Polo,Polo Men's Polo,Gold,6
Robert Henry Schofield Coleman,M,GBR,1920 Summer,1920,Antwerpen,Sailing,Sailing Mixed 7 metres,Gold,6
Oswald Graham Noel Turnbull,M,GBR,1920 Summer,1920,Antwerpen,Tennis,Tennis Men's Doubles,Gold,6
"Kathleen ""Kitty"" McKane (-Godfree)",F,GBR,1920 Summer,1920,Antwerpen,Tennis,Tennis Women's Doubles,Gold,6
George Walter Canning,M,GBR,1920 Summer,1920,Antwerpen,Tug-Of-War,Tug-Of-War Men's Tug-Of-War,Gold,6
Charles G. Bugbee,M,GBR,1920 Summer,1920,Antwerpen,Water Polo,Water Polo Men's Water Polo,Gold,6
Theodore Andrea Cook,M,GBR,1920 Summer,1920,Antwerpen,Art Competitions,Art Competitions Mixed Literature,Silver,6
Philip John Baker (-Noel-Baker),M,GBR,1920 Summer,1920,Antwerpen,Athletics,"Athletics Men's 1,500 metres",Silver,6
"Charles Edward ""Joe"" Blewitt",M,GBR,1920 Summer,1920,Antwerpen,Athletics,"Athletics Men's 3,000 metres, Team",Silver,6
Guy Montagu Butler,M,GBR,1920 Summer,1920,Antwerpen,Athletics,Athletics Men's 400 metres,Silver,6
"Laurence Michael ""Larry"" Cummins",M,GBR,1920 Summer,1920,Antwerpen,Athletics,"Athletics Men's Cross-Country, Team",Silver,6
"Alexander Ramsay ""Alex"" Ireland",M,GBR,1920 Summer,1920,Antwerpen,Boxing,Boxing Men's Welterweight,Silver,6
Cyril Albert Alden,M,GBR,1920 Summer,1920,Antwerpen,Cycling,Cycling Men's 50 kilometres,Silver,6
Horace Thomas Johnson,M,GBR,1920 Summer,1920,Antwerpen,Cycling,Cycling Men's Sprint,Silver,6
Cyril Albert Alden,M,GBR,1920 Summer,1920,Antwerpen,Cycling,"Cycling Men's Team Pursuit, 4,000 metres",Silver,6
Beatrice Eileen Armstrong (-Purdy),F,GBR,1920 Summer,1920,Antwerpen,Diving,Diving Women's Plain High,Silver,6
John Alan Campbell,M,GBR,1920 Summer,1920,Antwerpen,Rowing,Rowing Men's Coxed Eights,Silver,6
Jack Beresford,M,GBR,1920 Summer,1920,Antwerpen,Rowing,Rowing Men's Single Sculls,Silver,6
douard Ferdinand Bader,M,GBR,1920 Summer,1920,Antwerpen,Rugby,Rugby Men's Rugby,Silver,6
Hilda Marjorie James (-McAllister),F,GBR,1920 Summer,1920,Antwerpen,Swimming,Swimming Women's 4 x 100 metres Freestyle Relay,Silver,6
"Kathleen ""Kitty"" McKane (-Godfree)",F,GBR,1920 Summer,1920,Antwerpen,Tennis,Tennis Mixed Doubles,Silver,6
Winifred Geraldine Beamish (Ramsey-),F,GBR,1920 Summer,1920,Antwerpen,Tennis,Tennis Women's Doubles,Silver,6
Edith Dorothy Holman,F,GBR,1920 Summer,1920,Antwerpen,Tennis,Tennis Women's Singles,Silver,6
"Charles Edward James ""Charlie"" Gunn",M,GBR,1920 Summer,1920,Antwerpen,Athletics,Athletics Men's 10 kilometres Walk,Bronze,6
James Wilson,M,GBR,1920 Summer,1920,Antwerpen,Athletics,"Athletics Men's 10,000 metres",Bronze,6
Vincent Franz Harry Edward,M,GBR,1920 Summer,1920,Antwerpen,Athletics,Athletics Men's 100 metres,Bronze,6
Vincent Franz Harry Edward,M,GBR,1920 Summer,1920,Antwerpen,Athletics,Athletics Men's 200 metres,Bronze,6
George McKenzie,M,GBR,1920 Summer,1920,Antwerpen,Boxing,Boxing Men's Bantamweight,Bronze,6
William Cuthbertson,M,GBR,1920 Summer,1920,Antwerpen,Boxing,Boxing Men's Flyweight,Bronze,6
"Harold ""Harry"" Franks",M,GBR,1920 Summer,1920,Antwerpen,Boxing,Boxing Men's Light-Heavyweight,Bronze,6
Harry Edgar Ryan,M,GBR,1920 Summer,1920,Antwerpen,Cycling,Cycling Men's Sprint,Bronze,6
"Phyllis Wyatt Johnson (Squire-, -Waite)",F,GBR,1920 Summer,1920,Antwerpen,Figure Skating,Figure Skating Mixed Pairs,Bronze,6
Harold Edward Annison,M,GBR,1920 Summer,1920,Antwerpen,Swimming,Swimming Men's 4 x 200 metres Freestyle Relay,Bronze,6
"Kathleen ""Kitty"" McKane (-Godfree)",F,GBR,1920 Summer,1920,Antwerpen,Tennis,Tennis Women's Singles,Bronze,6
Philip William Samuel Bernard,M,GBR,1920 Summer,1920,Antwerpen,Wrestling,"Wrestling Men's Featherweight, Freestyle",Bronze,6
Peter W. Wright,M,GBR,1920 Summer,1920,Antwerpen,Wrestling,"Wrestling Men's Lightweight, Freestyle",Bronze,6
Harold Maurice Abrahams,M,GBR,1924 Summer,1924,Paris,Athletics,Athletics Men's 100 metres,Gold,7
Eric Henry Liddell,M,GBR,1924 Summer,1924,Paris,Athletics,Athletics Men's 400 metres,Gold,7
Douglas Gordon Arthur Lowe,M,GBR,1924 Summer,1924,Paris,Athletics,Athletics Men's 800 metres,Gold,7
"Harold James ""Harry"" Mitchell",M,GBR,1924 Summer,1924,Paris,Boxing,Boxing Men's Light-Heavyweight,Gold,7
"Henry William ""Harry"" Mallin",M,GBR,1924 Summer,1924,Paris,Boxing,Boxing Men's Middleweight,Gold,7
Charles Ryves Maxwell Eley,M,GBR,1924 Summer,1924,Paris,Rowing,Rowing Men's Coxless Fours,Gold,7
Jack Beresford,M,GBR,1924 Summer,1924,Paris,Rowing,Rowing Men's Single Sculls,Gold,7
Cyril Winthrop Mackworth-Praed,M,GBR,1924 Summer,1924,Paris,Shooting,"Shooting Men's Running Target, Double Shot, Team",Gold,7
Lucy Morton (-Heaton),F,GBR,1924 Summer,1924,Paris,Swimming,Swimming Women's 200 metres Breaststroke,Gold,7
Dorothy Margaret Stuart Browne,F,GBR,1924 Summer,1924,Paris,Art Competitions,Art Competitions Mixed Literature,Silver,7
Gordon Reginald Goodwin,M,GBR,1924 Summer,1924,Paris,Athletics,Athletics Men's 10 kilometres Walk,Silver,7
Arthur T. Clark,M,GBR,1924 Summer,1924,Paris,Athletics,"Athletics Men's 3,000 metres, Team",Silver,7
Harold Maurice Abrahams,M,GBR,1924 Summer,1924,Paris,Athletics,Athletics Men's 4 x 100 metres Relay,Silver,7
James McKenzie,M,GBR,1924 Summer,1924,Paris,Boxing,Boxing Men's Flyweight,Silver,7
"John ""Jack"" Elliott",M,GBR,1924 Summer,1924,Paris,Boxing,Boxing Men's Middleweight,Silver,7
Cyril Albert Alden,M,GBR,1924 Summer,1924,Paris,Cycling,Cycling Men's 50 kilometres,Silver,7
Gladys Mary Davis,F,GBR,1924 Summer,1924,Paris,Fencing,"Fencing Women's Foil, Individual",Silver,7
Harold Gordon Fowler,M,GBR,1924 Summer,1924,Paris,Sailing,Sailing Mixed 8 metres,Silver,7
Cyril Winthrop Mackworth-Praed,M,GBR,1924 Summer,1924,Paris,Shooting,"Shooting Men's Running Target, Double Shot",Silver,7
Cyril Winthrop Mackworth-Praed,M,GBR,1924 Summer,1924,Paris,Shooting,"Shooting Men's Running Target, Single Shot",Silver,7
Phyllis May Harding (-Turner),F,GBR,1924 Summer,1924,Paris,Swimming,Swimming Women's 100 metres Backstroke,Silver,7
Florence Barker,F,GBR,1924 Summer,1924,Paris,Swimming,Swimming Women's 4 x 100 metres Freestyle Relay,Silver,7
Phyllis Lindrea Covell (Howkins-),F,GBR,1924 Summer,1924,Paris,Tennis,Tennis Women's Doubles,Silver,7
"Hyla Bristow ""Henry"" Stallard",M,GBR,1924 Summer,1924,Paris,Athletics,"Athletics Men's 1,500 metres",Bronze,7
Eric Henry Liddell,M,GBR,1924 Summer,1924,Paris,Athletics,Athletics Men's 200 metres,Bronze,7
Guy Montagu Butler,M,GBR,1924 Summer,1924,Paris,Athletics,Athletics Men's 4 x 400 metres Relay,Bronze,7
Guy Montagu Butler,M,GBR,1924 Summer,1924,Paris,Athletics,Athletics Men's 400 metres,Bronze,7
Malcolm Cuthbert Nokes,M,GBR,1924 Summer,1924,Paris,Athletics,Athletics Men's Hammer Throw,Bronze,7
"Frederick Henry ""Harry"" Wyld",M,GBR,1924 Summer,1924,Paris,Cycling,Cycling Men's 50 kilometres,Bronze,7
Harold Clarke,M,GBR,1924 Summer,1924,Paris,Diving,Diving Men's Plain High,Bronze,7
Frederick Whitfield Barrett,M,GBR,1924 Summer,1924,Paris,Polo,Polo Men's Polo,Bronze,7
Gladys Helena Carson (-Hewitt),F,GBR,1924 Summer,1924,Paris,Swimming,Swimming Women's 200 metres Breaststroke,Bronze,7
Evelyn Lucy Colyer (-Munro),F,GBR,1924 Summer,1924,Paris,Tennis,Tennis Women's Doubles,Bronze,7
"Kathleen ""Kitty"" McKane (-Godfree)",F,GBR,1924 Summer,1924,Paris,Tennis,Tennis Women's Singles,Bronze,7
"Donald Archibald ""Archie"" MacDonald",M,GBR,1924 Summer,1924,Paris,Wrestling,"Wrestling Men's Heavyweight, Freestyle",Bronze,7
William Newzam Prior Nicholson,M,GBR,1928 Summer,1928,Amsterdam,Art Competitions,"Art Competitions Mixed Painting, Graphic Arts",Gold,8
David George Brownlow Cecil Burghley,M,GBR,1928 Summer,1928,Amsterdam,Athletics,Athletics Men's 400 metres Hurdles,Gold,8
Douglas Gordon Arthur Lowe,M,GBR,1928 Summer,1928,Amsterdam,Athletics,Athletics Men's 800 metres,Gold,8
Richard Beesly,M,GBR,1928 Summer,1928,Amsterdam,Rowing,Rowing Men's Coxless Fours,Gold,8
Laura Knight (Johnson-),F,GBR,1928 Summer,1928,Amsterdam,Art Competitions,"Art Competitions Mixed Painting, Paintings",Silver,8
"John Edward ""Jack"" London",M,GBR,1928 Summer,1928,Amsterdam,Athletics,Athletics Men's 100 metres,Silver,8
Walter Rangeley,M,GBR,1928 Summer,1928,Amsterdam,Athletics,Athletics Men's 200 metres,Silver,8
William Frank Southall,M,GBR,1928 Summer,1928,Amsterdam,Cycling,"Cycling Men's Road Race, Individual",Silver,8
"John Jacob ""Jack"" Lauterwasser",M,GBR,1928 Summer,1928,Amsterdam,Cycling,"Cycling Men's Road Race, Team",Silver,8
Ernest Henry Chambers,M,GBR,1928 Summer,1928,Amsterdam,Cycling,"Cycling Men's Tandem Sprint, 2,000 metres",Silver,8
Muriel Bolton Freeman (Smalley-),F,GBR,1928 Summer,1928,Amsterdam,Fencing,"Fencing Women's Foil, Individual",Silver,8
"John Charles ""Felix"" Badcock",M,GBR,1928 Summer,1928,Amsterdam,Rowing,Rowing Men's Coxed Eights,Silver,8
"Robert Archibald ""Archie"" Nisbet",M,GBR,1928 Summer,1928,Amsterdam,Rowing,Rowing Men's Coxless Pairs,Silver,8
"Ellen Elizabeth King (-McPhearson, -Pearson)",F,GBR,1928 Summer,1928,Amsterdam,Swimming,Swimming Women's 100 metres Backstroke,Silver,8
Margaret Joyce Cooper (-Badcock),F,GBR,1928 Summer,1928,Amsterdam,Swimming,Swimming Women's 4 x 100 metres Freestyle Relay,Silver,8
Cyril William Gill,M,GBR,1928 Summer,1928,Amsterdam,Athletics,Athletics Men's 4 x 100 metres Relay,Bronze,8
"Montford George ""Monty"" Southall",M,GBR,1928 Summer,1928,Amsterdam,Cycling,"Cycling Men's Team Pursuit, 4,000 metres",Bronze,8
Annie Broadbent,F,GBR,1928 Summer,1928,Amsterdam,Gymnastics,Gymnastics Women's Team All-Around,Bronze,8
Theodore David Anthony Collet,M,GBR,1928 Summer,1928,Amsterdam,Rowing,Rowing Men's Single Sculls,Bronze,8
Margaret Joyce Cooper (-Badcock),F,GBR,1928 Summer,1928,Amsterdam,Swimming,Swimming Women's 100 metres Backstroke,Bronze,8
Margaret Joyce Cooper (-Badcock),F,GBR,1928 Summer,1928,Amsterdam,Swimming,Swimming Women's 100 metres Freestyle,Bronze,8
"Samuel ""Sam"" Rabin (Rabinovitch)",M,GBR,1928 Summer,1928,Amsterdam,Wrestling,"Wrestling Men's Middleweight, Freestyle",Bronze,8
John Hughes,M,GBR,1932 Summer,1932,Los Angeles,Art Competitions,"Art Competitions Mixed Architecture, Designs For Town Planning",Gold,9
"Thomas William ""Tommy"" Green",M,GBR,1932 Summer,1932,Los Angeles,Athletics,Athletics Men's 50 kilometres Walk,Gold,9
"Thomas ""Tommy"" Hampson",M,GBR,1932 Summer,1932,Los Angeles,Athletics,Athletics Men's 800 metres,Gold,9
"John Charles ""Felix"" Badcock",M,GBR,1932 Summer,1932,Los Angeles,Rowing,Rowing Men's Coxless Fours,Gold,9
Lewis Clive,M,GBR,1932 Summer,1932,Los Angeles,Rowing,Rowing Men's Coxless Pairs,Gold,9
"John Frederick ""Jerry"" Cornes",M,GBR,1932 Summer,1932,Los Angeles,Athletics,"Athletics Men's 1,500 metres",Silver,9
"Thomas ""Tom"" Evenson",M,GBR,1932 Summer,1932,Los Angeles,Athletics,"Athletics Men's 3,000 metres Steeplechase",Silver,9
David George Brownlow Cecil Burghley,M,GBR,1932 Summer,1932,Los Angeles,Athletics,Athletics Men's 4 x 400 metres Relay,Silver,9
"Samuel ""Sam"" Ferris",M,GBR,1932 Summer,1932,Los Angeles,Athletics,Athletics Men's Marathon,Silver,9
Ernest Henry Chambers,M,GBR,1932 Summer,1932,Los Angeles,Cycling,"Cycling Men's Tandem Sprint, 2,000 metres",Silver,9
"Heather Seymour ""Judy"" Guinness Penn-Hughes (-Henning)",F,GBR,1932 Summer,1932,Los Angeles,Fencing,"Fencing Women's Foil, Individual",Silver,9
James Peter Jaffe,M,GBR,1932 Summer,1932,Los Angeles,Sailing,Sailing Mixed Two Person Keelboat,Silver,9
"Donald Osborne ""Don"" Finlay",M,GBR,1932 Summer,1932,Los Angeles,Athletics,Athletics Men's 110 metres Hurdles,Bronze,9
Nellie Halstead,F,GBR,1932 Summer,1932,Los Angeles,Athletics,Athletics Women's 4 x 100 metres Relay,Bronze,9
William Gladstone Harvell,M,GBR,1932 Summer,1932,Los Angeles,Cycling,"Cycling Men's Team Pursuit, 4,000 metres",Bronze,9
Elizabeth Valerie Davies (-Latham),F,GBR,1932 Summer,1932,Los Angeles,Swimming,Swimming Women's 100 metres Backstroke,Bronze,9
Margaret Joyce Cooper (-Badcock),F,GBR,1932 Summer,1932,Los Angeles,Swimming,Swimming Women's 4 x 100 metres Freestyle Relay,Bronze,9
Arthur Godfrey Kilner Brown,M,GBR,1936 Summer,1936,Berlin,Athletics,Athletics Men's 4 x 400 metres Relay,Gold,10
Hector Harold Whitlock,M,GBR,1936 Summer,1936,Berlin,Athletics,Athletics Men's 50 kilometres Walk,Gold,10
Jack Beresford,M,GBR,1936 Summer,1936,Berlin,Rowing,Rowing Men's Double Sculls,Gold,10
Miles Aubrey Bellville,M,GBR,1936 Summer,1936,Berlin,Sailing,Sailing Mixed 6 metres,Gold,10
"Donald Osborne ""Don"" Finlay",M,GBR,1936 Summer,1936,Berlin,Athletics,Athletics Men's 110 metres Hurdles,Silver,10
Arthur Godfrey Kilner Brown,M,GBR,1936 Summer,1936,Berlin,Athletics,Athletics Men's 400 metres,Silver,10
"Ernest ""Ernie"" Harper",M,GBR,1936 Summer,1936,Berlin,Athletics,Athletics Men's Marathon,Silver,10
Audrey Kathleen Kilner Brown (-Court),F,GBR,1936 Summer,1936,Berlin,Athletics,Athletics Women's 4 x 100 metres Relay,Silver,10
Dorothy Jennifer Beatrice Odam-Tyler,F,GBR,1936 Summer,1936,Berlin,Athletics,Athletics Women's High Jump,Silver,10
David Dawnay,M,GBR,1936 Summer,1936,Berlin,Polo,Polo Men's Polo,Silver,10
Alan John Barrett,M,GBR,1936 Summer,1936,Berlin,Rowing,Rowing Men's Coxless Fours,Silver,10
"Harold Heaton ""Harry"" Hill",M,GBR,1936 Summer,1936,Berlin,Cycling,"Cycling Men's Team Pursuit, 4,000 metres",Bronze,10
Richard Gennys Fanshawe,M,GBR,1936 Summer,1936,Berlin,Equestrianism,"Equestrianism Men's Three-Day Event, Team",Bronze,10
Peter Markham Scott,M,GBR,1936 Summer,1936,Berlin,Sailing,Sailing Mixed One Person Dinghy,Bronze,10
Alfred Reginald Thomson,M,GBR,1948 Summer,1948,London,Art Competitions,"Art Competitions Mixed Painting, Paintings",Gold,11
"William George Ranald Mundell ""Ran"" Laurie",M,GBR,1948 Summer,1948,London,Rowing,Rowing Men's Coxless Pairs,Gold,11
"Richard Desborough ""Dickie"" Burnell",M,GBR,1948 Summer,1948,London,Rowing,Rowing Men's Double Sculls,Gold,11
David John Were Bond,M,GBR,1948 Summer,1948,London,Sailing,Sailing Mixed Two Person Keelboat,Gold,11
John (Herbert Crawford-) Copley (Williamson-),M,GBR,1948 Summer,1948,London,Art Competitions,"Art Competitions Mixed Painting, Graphic Arts",Silver,11
Chintamoni Kar,M,GBR,1948 Summer,1948,London,Art Competitions,"Art Competitions Mixed Sculpturing, Statues",Silver,11
"John ""Jack"" Archer",M,GBR,1948 Summer,1948,London,Athletics,Athletics Men's 4 x 100 metres Relay,Silver,11
"Thomas John Henry ""Tom"" Richards",M,GBR,1948 Summer,1948,London,Athletics,Athletics Men's Marathon,Silver,11
"Dorothy Gladys Manley (-Hall, -Parlett)",F,GBR,1948 Summer,1948,London,Athletics,Athletics Women's 100 metres,Silver,11
Audrey Doreen Swayne Williamson (-Mitchell),F,GBR,1948 Summer,1948,London,Athletics,Athletics Women's 200 metres,Silver,11
Maureen Angela Jane Gardner (-Dyson),F,GBR,1948 Summer,1948,London,Athletics,Athletics Women's 80 metres Hurdles,Silver,11
Dorothy Jennifer Beatrice Odam-Tyler,F,GBR,1948 Summer,1948,London,Athletics,Athletics Women's High Jump,Silver,11
